gene_id;gene_symbol;PC1;PC2;PC3;PC4
ENSG00000257949;TEN1;2,19997911493444e-02;-2,80732509567764e-02;-5,75893438263531e-03;1,98074096952035e-02
ENSG00000167641;PPP1R14A;2,19237590072064e-02;-2,41575810468679e-03;-1,81642015325487e-02;-6,79793021328273e-03
ENSG00000197380;DACT3;2,19166495680068e-02;-6,52555174306619e-04;-6,21000422674617e-03;-1,42545803788094e-02
ENSG00000272325;NUDT3;2,18985002032042e-02;-1,57349544188506e-02;-1,98674219539339e-02;1,11913699210140e-02
ENSG00000138615;CILP;2,18902730676812e-02;-1,73913977340307e-02;-7,39149817223691e-04;-2,17416193679749e-02
ENSG00000124212;PTGIS;2,18866158576138e-02;-9,27939549581041e-04;3,86638744406784e-04;-2,31319297858264e-02
ENSG00000170323;FABP4;2,18836697379706e-02;-1,64718450673495e-02;-1,60633926014408e-03;-1,83546661438197e-02
ENSG00000279821;ENSG00000279821;2,18817470242560e-02;1,65333428013894e-03;-2,79461130372094e-04;-3,14057394365940e-03
ENSG00000108924;HLF;2,18536327296200e-02;-1,69275185944657e-03;-1,76313525998947e-03;-2,03109331381261e-03
ENSG00000227487;ENSG00000227487;2,18365725809676e-02;-6,60821337401135e-03;5,49398873985814e-04;5,61690196306732e-03
ENSG00000241404;EGFL8;2,18356243975275e-02;-1,72328169863452e-02;-2,67561199844529e-03;1,53113116809226e-02
ENSG00000187980;PLA2G2C;2,18155861649813e-02;1,51813019883438e-03;-6,09460449827360e-03;-4,80119661288131e-04
ENSG00000177990;DPY19L2;2,18117175326609e-02;-8,15531530688927e-03;5,98621421836466e-03;-2,19652958920927e-03
ENSG00000132840;BHMT2;2,17641928359101e-02;-2,91497113250441e-03;2,38476989258473e-04;-1,11338957948574e-02
ENSG00000181195;PENK;2,17483818763109e-02;3,49390540649082e-03;-3,58975343710261e-03;-1,70335096268903e-02
ENSG00000167371;PRRT2;2,17018265678404e-02;-1,69910127270156e-02;-1,20300708851588e-03;1,08795370578882e-02
ENSG00000187922;LCN10;2,16877762004343e-02;-2,45999581377634e-02;-5,18981723364379e-03;9,25077367139500e-03
ENSG00000154262;ABCA6;2,16781611520508e-02;-1,51828401201568e-02;8,56485232410207e-03;-9,32418066874057e-03
ENSG00000095713;CRTAC1;2,16745060603501e-02;-2,60911955322862e-03;-4,24158001208708e-03;-1,15887550999616e-02
ENSG00000131471;AOC3;2,16627762302037e-02;-3,78425747818464e-03;-3,59625474723874e-03;-1,87955624708277e-02
ENSG00000107317;PTGDS;2,16542996525537e-02;-2,05373458914330e-02;-1,02338341652066e-02;-5,94424124933454e-03
ENSG00000162614;NEXN;2,16238391660498e-02;-3,76567902146967e-03;5,96831374648279e-03;-1,20005605149826e-02
ENSG00000158560;DYNC1I1;2,15679248596160e-02;1,67474217377704e-03;-3,47744889954598e-03;-4,44377502679860e-03
ENSG00000134121;CHL1;2,14456671918686e-02;-1,03632855441824e-02;6,04730237766696e-03;-1,56819813307351e-02
ENSG00000004799;PDK4;2,13781063438149e-02;-1,53840986470164e-02;-3,47630204192107e-04;3,72899064011955e-03
ENSG00000248098;BCKDHA;2,13771159332837e-02;-2,14217023186895e-02;-1,67080718452180e-02;1,78705273127676e-02
ENSG00000243789;JMJD7;2,13741124798575e-02;-1,97116308020259e-02;-2,47063849710174e-04;1,53873081486558e-02
ENSG00000184144;CNTN2;2,13546884623286e-02;-8,44607395293313e-03;3,63786607629301e-03;-7,95349147617213e-03
ENSG00000196497;IPO4;2,12759376595440e-02;-2,02982968636268e-02;-1,27241115417570e-02;1,95873180555160e-02
ENSG00000115665;SLC5A7;2,12579349434161e-02;-3,14267664384829e-03;-7,03456932272488e-04;-8,21636285094589e-03
ENSG00000053438;NNAT;2,12436132877983e-02;5,38698584742884e-04;1,70423483912280e-03;1,34451932217735e-03
ENSG00000080603;SRCAP;2,12384438177902e-02;-2,09306764115579e-02;-3,24754894541107e-03;1,82624130548272e-02
ENSG00000118160;SLC8A2;2,11981160651724e-02;3,02392216261321e-03;-8,59040245836646e-03;-2,42999727857128e-03
ENSG00000136842;TMOD1;2,11302143094632e-02;-4,20891974506801e-03;-3,67101244237104e-03;-1,07091324480107e-02
ENSG00000168497;CAVIN2;2,11173323516857e-02;-5,87866221319075e-03;-1,02659090578388e-03;-1,21376817446097e-02
ENSG00000198932;GPRASP1;2,10817061625423e-02;-7,56468288206655e-03;4,96925080082998e-03;-2,56624741561632e-03
ENSG00000113594;LIFR;2,10649168991839e-02;-1,68056647335913e-02;6,75661414861124e-03;-9,41829302826446e-03
ENSG00000174099;MSRB3;2,10400273880078e-02;1,07790976493627e-04;2,47464314751035e-03;-1,91531883946520e-02
ENSG00000143867;OSR1;2,10219919327120e-02;-7,61426261861677e-03;-5,33138157420849e-03;-1,03900576787667e-02
ENSG00000091656;ZFHX4;2,09531715824037e-02;5,99830594369790e-03;1,04001520547330e-02;-1,73332260291831e-02
ENSG00000144847;IGSF11;2,09517407840934e-02;-5,14313415336884e-03;-4,22917873470861e-04;-3,16748970117429e-03
ENSG00000243414;TICAM2;2,09219727496051e-02;-1,51923982766662e-02;-5,15326625683879e-04;7,97152561699044e-03
ENSG00000198624;CCDC69;2,08765325434318e-02;-5,06661722665399e-03;-4,81437983054004e-03;-1,24786271203556e-02
ENSG00000186642;PDE2A;2,08736340153406e-02;-1,10204261491601e-02;-6,77371350261215e-03;-8,11469373226495e-03
ENSG00000132329;RAMP1;2,08488034730291e-02;7,96315117811881e-03;-1,49816158711208e-02;-1,81215067551783e-02
ENSG00000094963;FMO2;2,08338588227986e-02;-7,13617928316854e-03;4,43369288525200e-03;-1,55284312954725e-02
ENSG00000110025;SNX15;2,07970526714141e-02;-2,03494407696926e-02;-6,52802999971236e-03;1,81273184140952e-02
ENSG00000101955;SRPX;2,07917703975976e-02;-1,09090678369214e-02;-6,67529475654610e-03;-1,22361365242839e-02
ENSG00000260121;ENSG00000260121;2,07730055520837e-02;-1,53637622998160e-02;-6,88627066907399e-03;1,63897803175834e-02
ENSG00000180155;LYNX1;2,07483645242618e-02;-5,82392271965564e-03;-7,63321564212025e-03;-1,06825027553180e-02
ENSG00000166402;TUB;2,06981666124997e-02;-8,58223809644967e-03;2,12884858011356e-03;-9,95917477399840e-03
ENSG00000168309;FAM107A;2,06800949908596e-02;-2,26805565107766e-02;-4,96352204909224e-03;-7,31687322779496e-03
ENSG00000276409;CCL14;2,06673827603620e-02;-2,05209014042916e-02;-3,83139770700865e-03;8,00694897404836e-03
ENSG00000104332;SFRP1;2,06317811856952e-02;-1,72495070859679e-02;-6,34902147464924e-04;-2,79281253496426e-02
ENSG00000213920;MDP1;2,06292407279591e-02;-1,79287428759872e-02;-1,09479253195712e-02;1,27261718723969e-02
ENSG00000143801;PSEN2;2,06226845436677e-02;-1,57227187031423e-02;-6,30174999749242e-04;1,66861332728534e-02
ENSG00000171819;ANGPTL7;2,06168116723158e-02;-3,41692670977193e-03;6,56953382455946e-03;-1,34294086536409e-02
ENSG00000143028;SYPL2;2,05886809512277e-02;-1,85233963452564e-03;-2,86310576413416e-03;-6,22665371190141e-03
ENSG00000241697;TMEFF1;2,05388144359015e-02;-5,85748005703952e-03;-6,72619546581043e-03;3,01955325993513e-03
ENSG00000146267;FAXC;2,05386523188848e-02;4,39199858080898e-03;-1,03588191359966e-03;-5,02113337239564e-03
ENSG00000127472;PLA2G5;2,05108316689075e-02;1,52331561275034e-03;-6,36831619956935e-03;-1,20129498718776e-02
ENSG00000178412;CTDP1-DT;2,04930282443194e-02;-1,78376047094558e-02;-6,38543636720952e-03;1,32535782728417e-02
ENSG00000267855;NDUFA7;2,04865780444741e-02;-2,14437423852686e-02;-4,64657486439275e-03;1,91904990350205e-02
ENSG00000162733;DDR2;2,04595186780882e-02;-4,88299424983172e-03;8,01417192464239e-03;-1,80713848171031e-02
